Name,Frequency,Variants,Confidence_Level
Brown,473,Brown Yes To Table; Represent Brown; Brown Here; Brown And Then Represent; Catherine Brown; Brown Suggested; Represented Brown; Brown In The Opposition; Brown Please; Brown Was Asking About; Brown Next We'Re; Brown No; Brown Yes; Brown Is There Any; Brown So; Brown Okay; Brown We'Ll Go; Brown It; Browne; Brown Just; Browne Yes; Brown House Bill One; Brownlee; Brown Votes No; Brown Votes Yes; Harry Browne; Brownley,High
Kernan,457,Kernan Was Talking About; Kernan Yes; Kernan It; Kernan No; Kernan Sierra; Griggs Kernan Shendo Hamblen; Kernan Shaking Her Head; Kernan Thank You So; Kernan Are You Still; Kernan You Know; Kernan That; Kernan For The Second; Kernan And Then; Kernan Mention; Kernan For Bringing This; Kernan For Sponsoring This; Kernan You'Ll Call; Kernan If You'Ll; Kernan You'Re Absolutely; Kernan Million If You; Kernan We'Re Gonna; Kernan Next,High
Hernan,449,Hernandez; Hernandez Here; Hernandez And Then Represent; Her Hernandez; Hern; Hernandez Yes; Hernandez Your; Hernandez Now; Hernandez No,High
Wirth,445,Peter Wirth; Wirth That; Wirth Was Talking About; Wirth For Bringing This; Wirth You Have Any; Wirth No; Wirth Yes; Wirth Yeah; Wirth Made; Wirth Here; Wirth Is Excused; Wirth So; Wirth Who Also Introduced; Wirth Is Not Here; Wirth Talked About; Wirth We'Re Gonna; Wirth Yes Ma'Am,High
Gallegos,436,David Gallegos; Gallegos Yes; Gallegos Yes Ma'Am; Gallegos Here; Gallegos No Ma'Am; Gallegos Next; Gallegos Please; Gal; Gallegos Is Here; Gallegos Is There Any; Gallegos You'Re Next; Gallegos To Explain His; Gallego; Gallegos Any Other Discussion; Gallegos Question; Gallegos To Explain Your,High
Chatfield,422,Chatfield Next We'Re; Chapfield; Chatfield Is There Any; Jack Chatfield; Chatfield And Then Go; Chatfield We'Re Gonna; Chatfield Please; Chatfield Okay We'Re; Chatfield Let; Chatfield For The Motion; Chatfield It; Chatfield Yes; Chatfield And We'Re; Chat; Chatfield Promotion; Chatfield Ranking Member Armstrong; Chatfield Are There Any; Chatfield Good Morning; Chatfield So; Chatfield No; Chatfield No To Table; Chatfield Transportation,High
Matthews,411,Matt; Matthews Yes; Matthews That; Matthew; Matthews Yes By Share; Matthews Here; Matthews To Explain Her; Matthews Is With Us; Matthews For Bringing This; Marian Matthews; Marian Matthews Yes; Marian Matthews Here; Matthews Is Not Present; Dan Matthews,High
Montoya,406,Montoya We'Re Gonna; Montoya Are There Any; Montoya Voting In Opposition; Montoya Okay; Montoya Yes; Montoya For Second Time; Montoya Please; Montoya That; Montoya Then We'Re; Laura Montoya; Represent Montoya; Roger Montoya; Montoya For Bringing This; Montoya Is Not Present; Roger Montoya Yes; Montoya In That Order; Montoya Is There Any; Rod Montoya; Montoya But,High
Chavez,396,Eleanor Chavez; In Chavez; Ann Chavez; Nicole Chavez; Uh Chavez; Eleanor Chavez Is Their; An Chavez; Chavez Here; Chavez Made The Motion; En Chavez; Chavez Pass; Chavez To Explain Her,High
Charlie,387,Charlie For The First; Charlie To Explain Her; Charlie Charlie; Char; Angel Charlie,High
Duncan,383,Duncan For The Motion; Hernandez And Represent Duncan; Duncan Here; Duncan And Then Vice; Duncan Yes; Duncan Your; Ranking Member Duncan,High
Lujan,378,Lujan Grisham; Tara Lujan; Lujan Next We'Re; Lujan Okay; Lujan Is There Any; Lujan Yes; Lujan Is Their Opposition; Lujan And Then Represent; Lujan We'Re Gonna; Lujan Please; Lujan Here; Lujan For The Second; Michelle Lujan Grisham; Lujan Grisham To Give; Lujan That; Lujan For Bringing This; Lujan She,High
Baca,352,Baca For The Motion; Baca Yes; Baca Next We'Re; Baca What; Baca Please; Baca No; Baca That,High
Ramos,342,,High
Romero,337,Andres Romero; Uh Romero; Romero But; Romero To Talk About; Rome; Romero Was Talking About; Andrea Romero; Romero Yes; Romero Here; Romero For Bringing This; Romero Whenever You'Re; Romero Would You Call; Romero Stated,High
Jones,335,Jones Here; Jones Yes; Jones Is There Any; Jones No,High
Herndon,329,Ferndon; Pamela Herndon; Herndon For Bringing This; Herndon Yes,High
Pinto,325,Shannon Pinto; Pinto If You'Ll; Pinto Yes; Pin Pinto,High
Hamblin,325,Hamblen; Hambling; Hambling Yes,High
Pete Campos,321,Campos; Pete Campos Representing All; Campo,High
Nibert,318,Nibert Yes; Nibert Yes Ma'Am; Nibert No; Nibert There; Nibert That; Nibert Your; Nibert It; Nibert Well; Nibert You Are Correct; Nibert Is Here,High
Vincent,304,Vincent For The Motion; Vincent And Then Represent; Vincent Was Talking About; Vincent Is There Any; Vincent Then; Harlan Vincent; Vincent No; Vincent Yes; Vincent Yesterday; Vincent For The Second; Vincent Here,High
Munoz,301,George Munoz; Munoz Here; Munoz For Bringing This; Munoz Votes Yes; Munoz Votes; Munozen Votes Yes; Munoz Yes; Munoz Votes No; Munoz Yes Eleven Zero,High
Lane,298,Lane That; Lane Your; Lane Yes; Lane For The Motion; Lane No; Laney; Lane Next We'Re; Lane Please; Lane There; Lane House Bill Three; Griggs Lane Can You; Hamblen Second Lane Can; Lane No To Table; Lanes,High
Ferrari,294,Ferrary; Joanne Ferrari; Uh Ferrari; Ferrari Here; Joanne Ferrari Yes,High
Hemphill,284,Hemphill For Bringing This; Hemphill If You'Ll; Hemphill For Bringing Forward; Hemphill Yes; Hemphill Boats; Hemphill Votes; Hemphill Yeah; Hemphill That We Call; Hemphill Votes Yes; Hemphill Hemphill Boats; Hemphill We'Re Going; Hemphill Hemphill Votes,High
Share,271,Shared; Share This; Shares; Share Is Excused; Shar; Share Yes; Share Votes; Share So; Share No; Share It; Share New; Share And Then We; Share Let,High
Dow,266,Dowd; Downs; Dow And Then We; Dow Here; Dow On House Bill; Dow Yes; Dow There; Dow Yes The Table; Dow No; Rebecca Dow; Dow Please; Dow For Bringing This; Dow All; Dow It; Dowell; Dow That; Dowell No,High
Ortiz,259,Jerry Ortizipino In Drafting; Jerry Ortiz; Ortiz You Know; Ortiz If You Know; Ortiz Pena Yes So; Ortiz Penal; Ortiz Pena Yes; Ortiz Pena; Ortiz You Know You,High
Harper,259,Harper Good To See; Harper Your; Harper On On This; Jason Harper; Harper Yes; Harper Did You Wish; Harper Over The Last; Harper He; Harper That; Harper Brought Up That; Harper No; Harper Let; Harper Are There Any; Harper Is Here,High
Small,256,Small Yes; Small For The Motion; Small He; Small That; Small Let; Small Here; Small Is There Any; Small For The Executive; Small For Bringing This; Small Promotion; Small Independent Businesses Across; Smalls; Practices Are Small Businesses; For Small Business Majority,High
Block,255,Block Uh; Block For Bringing This; Center Block; Block Was Talking About,High
Chandler,254,Chan; Chandler And Yeah; Chandler For Carrying This; Chandler Why Don; Chandler You Have An; Chandler Yes; Chandler Here; Christine Chandler; Chandler For Bringing This; Chandler Said We; Chandler But,High
Lanier,252,Lanier Votes Yes; Lanier Votes No; Lanier Votes; La,High
Rehm,242,Rehm Yes; Rehm Yes Ma'Am; Rehm No,High
Maestas,234,Maestas No; Maestas Yes And So; Maestus; Maestas Yes; Maest; Maestas This Is Not; Maestas Texted Me He,High
Pettigrew In Opposition,234,Pettigrew; Pettigre,High
Anderson Is There Any,232,Anderson; Anders,High
Souls,231,Souls Is On His; Senators Souls Yes It; Souls No; Souls Yes; Senators Souls; Maintenance Excuse Center Souls; Souls Please; Soul; Souls He; Souls For Bringing This; Souls So; Souls Yes So You; Souls You'Re Muted; Souls Yes Okay We; Souls For Senate Bill,High
Silva,227,Silva Here; Sarah Silva; Ana Silva; Dominic Silva; Silva In The Opposition,High
Thornton,226,Thornton Center Pope; Thornton No; Thorn; Thornton Yes; Thor,High
Center,224,For The Center Pacific; In The Center; Center That; Center It; Hamblen Yes Centerville No; Center Yes; Centers; Center Yeah; Center And Expert Witness; In Center; Sharon Center; Center For The Education; Kernan Center My Estes; Kernan Yes Center My; Center Yes That; Ingle Center Maestas Yes; Ingle Center Maestas; Mechanic Yes Center Mechanic; Ingle Yes Center Maestas; Ingle Center Maestas This; Center Is That; Ingle Center My Ss; Mccutchen Center; Doing Center; Fajardo In Center Ivey,High
Tallman,222,Tallman Yes; Tollman; Tallman Any Other Discussion; Tallman You'Re Next; Tallman Bill; Tallman To Explain His; Tallman Moved To Do,High
Brantley,221,Brentley; Brant; Bran; Brantley Votes; Brantley Votes Yes; Brantley Boats,High
Hall,221,Hall Yes; Hall No; Hall Here,High
Bergman,218,Bergmans; Bergmann; Bergmans Is Gonna Go,High
Cervantes,213,Cervantes To Explain His; Cervantes Is Excused; Cervantes Was Talking About; Cervante; Cervantes Yes,High
Lord,212,Lord It; Stephanie Lord Here; Stephanie Lord; Stephanie Lord Yes; Lord No; Lord Yes; Stephanie Lord No; Step In The Lord; Lord No To Table; Lord So,High
Lent,211,Lenti; Lente There; Lente; Lente Yes; Len; Lenton; Lente Nope; Lente Yeah; Lente For Bringing This; Lente For Sponsoring This; Lente For Sponsoring House; Lente That Please; Lente Is There Any; Lente Please; Lente That,High
Lara,209,Lara Here; Lara Yes; Lara Please; Lara For Bringing This; Lara If You Would; Lara Cadena,High
Rodriguez,209,Rodriguez Is Gonna; Rodriguez Yes; Rodriguez Yes Seven Two; Rodriguez Can You Make; Rodriguez It; Nancy Rodriguez; Nancy Rodriguez District Twenty; Rodriguez Yes Yes Yes; Rodriguez Yeah; Rodrigues; Rodriguez That We Call; Rodriguez You Have Your; Rodriguez No; Rodriguez Made; Rodriguez For Bringing This; Rodriguez But; Rodriguez On Senate Bill,High
What,207,What We'Re Gonna; What What; So What; What Yes; What Is The What; So What We'Re; What You'Re Trying; So What This Does; What This Bill Does; Center What; Whatever; Committee Members What We; What We'Re Talking; You Know What; You Know What We; What We'Re Trying; Steinborn What; But What You'Re; But What; Members The Committee What; What We'Re We; In Terms Of What; Okay What; What Do You Think,High
Chasey,205,Chase; Chasey Said It; Chasey Yes; Chasey Yeah; Chasey On House Bill,High
Kates,204,Kate,High
Lewis,203,Lewis For Bringing This; Lewis For Sponsoring This; Lewis Would You Be; Lewis Yes,High
Griggs,203,Griggs No; Griggs Yes,High
Paul,203,Paul Are There Any,High
Daniel Ivey Soto,195,Ivey Soto,High
Crowder,192,Crowder Here; Crowder Next We'Re; Crowder Please; Crowder So; Crowder And Then We; Crowder Yes; Crowder Go Ahead; Crowder For Question; Crowder Yes To Table; Crowder No; Crowder On The Second; Crowder Is There Any,High
Cook,191,Cook Yes; Cook No; Cook Yes Ma'Am,High
Anaya,187,Anaya In The Second; Anaya To Explain Her; Anaya On House Bill,High
Mckenna,186,Mckenna Please; Mckenna Yes; Mckenna On The Amendment; Mckenna No; Mckenna Yes Senate Committees; Mckenna You'Re Next; Mckenna Please Proceed; Mckenna Votes,High
Alcon,184,Alcon Yes; Alcon You'Re Next; Alcon No,High
Johnson,183,John; Wendy Johnson; Gary Johnson; Johnson Yes; Wonda Johnson; Johnson To Talk About; Johnson Are There Any; Johnson At The Time,High
Diamond,182,Diamond She; Diamond Yes; Diamond You'Re Next; Crystal Diamond Senate District; Diamond Just; Diamond It; Crystal Diamond From Senate; Diamond Can We Call; Diamond No; Diamond Nope; Diamond Yes There Diamond; Crystal Diamond And Then; Diamond And Then We,High
Little,178,Little Here; Little And Then Represent; Little And Then Ranking; Little For The Motion; Charlotte Little; Little Yes; Little No,High
Representatives,173,Represent; Rep; Repres; Lord Representatives; Representatives And Experts,High
Mason,171,Melissa Mason; Mason Yes; Mason Yeah,High
Lundstrom,164,Patty Lundstrom; Lundstrom Yes; Lundstrom Yeah; Lindstrom,High
Eli,164,Eli Here; Eli That; Eli Yes; Elizabeth; Eli No; Eli Please; Eli Just,High
Serrato,162,Serrado; Serrato Yes; Serrato Your; Serrato Here; Serrato For Bringing This,High
For The New Mexico,161,,High
Tobiasson,160,Tobiasson Votes Yes; Tobiasson Votes No; Tobias; Tobiasson Votesia,High
Sher,158,Sheriff; Sherrod; Sherman; Sheryl; Sheryl Williams Stapleton; Sherrod Votes Yes; Sherrod Votes; Sheriff For Bringing It,High
Allison,157,Allyson; Allison Is The Second; Allison Is There Any; Allison Yes; Allison Please; Allison Here; Anthony Allison; Allison Next We'Re; Allison Yes To Table; Allison Let; Ellison; Allison For The Motion; Allison Please Go Ahead; Allison For Bringing This,High
Pirtle,148,Pirtle For Bringing This; Pirtle Yes; Pirtle That; Pirtle No; Pirtle It,High
De La Cruz,147,Cruz; De La Cruz Here; De La Cruz Pointed,High
Hochman Vigil Here,147,Hochman Vigil; Hochman; Vigil; Ho,High
If You Would Just,146,If You; Just; If You Could Just,High
Hamlin,145,Ham,High
If You Don,138,Do; Don; You Don,High
Herrera,135,Herrera Here; Susan Herrera; Ferrera; Herrera She,High
Strickler,135,Strickler Your; Strickler No; Strickler Here; Strickler Yes,High
Reed,134,Ree,High
Already Thank You Let,134,Let; Already,High
