bill_id,bill_type,full_name,frequency,num_transcripts,variants
SB 423,SB,Senate Bill,9,9,"SB 423; Senate Bill
423; Senate Bill 423; Senate bill 423"
SB 197,SB,Senate Bill,9,9,"SB 197; Senate Bill
197; Senate Bill 197"
HB 457,HB,House Bill,9,9,"HB
457; HB 457; House Bill
457; House Bill 457"
HB 519,HB,House Bill,9,9,"HB
519; HB 519; House Bill
519; House Bill 519"
HB 112,HB,House Bill,9,9,"HB
112; HB 112; House Bill
112; House Bill 112"
HB 135,HB,House Bill,9,9,"HB 135; House Bill
135; House Bill 135; house Bill 135"
HB 29,HB,House Bill,9,9,"House Bill
29; House Bill 29; house Bill 29; house bill 29"
HB 336,HB,House Bill,9,9,"House Bill
336; House Bill 336"
SB 151,SB,Senate Bill,9,9,SB 151; Senate Bill 151
HB 68,HB,House Bill,9,9,"HB 68; House Bill
68; House Bill 68; house Bill
68; house Bill 68"
HB 394,HB,House Bill,9,9,"HB
394; HB 394; House Bill
394; House Bill 394"
HB 154,HB,House Bill,9,9,"House Bill
154; House Bill 154; house Bill
154; house Bill 154; house bill 154"
HB 49,HB,House Bill,9,9,"HB 49; House Bill
49; House Bill 49; house Bill 49; house bill 49"
HB 368,HB,House Bill,9,9,"HB 368; House Bill
368; House Bill 368"
HB 330,HB,House Bill,9,9,"HB
330; HB 330; House Bill
330; House Bill 330"
HM 34,HM,House Memorial,9,9,"House Memorial
34; House Memorial 34; house Memorial 34"
HB 398,HB,House Bill,9,9,"House Bill
398; House Bill 398"
SB 303,SB,Senate Bill,9,9,"SB 303; Senate Bill
303; Senate Bill 303"
SB 129,SB,Senate Bill,9,9,"SB 129; Senate Bill
129; Senate Bill 129"
HB 26,HB,House Bill,9,9,"HB 26; House Bill
26; House Bill 26; house Bill
26; house Bill 26"
HB 228,HB,House Bill,9,9,"HB 228; House Bill
228; House Bill 228"
HB 456,HB,House Bill,9,9,"House Bill
456; House Bill 456"
SB 52,SB,Senate Bill,9,9,"Senate Bill
52; Senate Bill 52"
SB 364,SB,Senate Bill,9,9,"SB 364; Senate Bill
364; Senate Bill 364"
SB 20,SB,Senate Bill,9,9,"SB
20; SB 20; Senate Bill
20; Senate Bill 20; Senate bill 20"
SB 162,SB,Senate Bill,9,9,SB 162; Senate Bill 162
HB 198,HB,House Bill,9,9,"HB 198; House Bill
198; House Bill 198"
HB 48,HB,House Bill,9,9,"HB 48; House Bill
48; House Bill 48; house Bill
48; house Bill 48"
HB 27,HB,House Bill,9,9,"HB
27; HB 27; House Bill
27; House Bill 27; house Bill 27"
HB 365,HB,House Bill,9,9,"HB
365; HB 365; House Bill
365; House Bill 365; house bill
365"
HM 2,HM,House Memorial,9,9,"HM 2; House Memorial
2; House Memorial 2"
SJR 11,SJR,Senate Joint Resolution,9,9,"SJR
11; SJR 11; Senate Joint Resolution
11; Senate Joint Resolution 11; Senate Joint resolution 11"
HB 242,HB,House Bill,9,9,"HB
242; HB 242; House Bill
242; House Bill 242; house Bill
242"
HB 217,HB,House Bill,9,9,"HB 217; House Bill
217; House Bill 217; house Bill 217"
HB 46,HB,House Bill,9,9,"HB
46; HB 46; House Bill
46; House Bill 46; house Bill 46"
HB 77,HB,House Bill,9,9,"HB
77; HB 77; House Bill
77; House Bill 77"
SB 105,SB,Senate Bill,9,9,"SB
105; Senate Bill
105; Senate Bill 105"
HM 53,HM,House Memorial,9,9,"HM 53; House Memorial
53; House Memorial 53; house Memorial 53"
HB 72,HB,House Bill,9,9,"HB 72; House Bill
72; House Bill 72"
HB 106,HB,House Bill,9,9,"HB 106; House Bill
106; House Bill 106; house Bill 106"
SB 166,SB,Senate Bill,9,9,"SB
166; SB 166; Senate Bill
166; Senate Bill 166; Senate bill 166"
SB 254,SB,Senate Bill,9,9,SB 254; Senate Bill 254
HB 468,HB,House Bill,9,9,"House Bill
468; House Bill 468; house bill
468"
HB 16,HB,House Bill,9,9,"HB 16; House Bill
16; House Bill 16; house Bill 16"
HB 169,HB,House Bill,9,9,"HB
169; HB 169; House Bill
169; House Bill 169"
SB 299,SB,Senate Bill,9,9,"SB 299; Senate Bill
299; Senate Bill 299; Senate bill
299; Senate bill 299"
SB 85,SB,Senate Bill,9,9,"SB
85; SB 85; Senate Bill
85; Senate Bill 85"
HB 518,HB,House Bill,9,9,"HB
518; HB 518; House Bill
518; House Bill 518; house Bill 518"
HB 172,HB,House Bill,9,9,"HB 172; House Bill
172; House Bill 172"
HB 30,HB,House Bill,8,8,"HB 30; Hb 30; House Bill
30; House Bill 30"
