bill_id,bill_type,transcript_file
HB 178,HB,House-ChamberMeeting_Saturday_Mar22_2025_936AM-1204PM - 2025-09-12.cc.txt
HB 178,HB,House-ChamberMeeting_Thursday_Feb13_2025_1030AM-1245PM - 2025-09-12.cc.txt
HB 178,HB,House-ChamberMeeting_Thursday_Mar20_2025_108PM-1035PM - 2025-09-12.cc.txt
HB 178,HB,House-ChamberMeeting_Tuesday_Feb25_2025_1048AM-447PM - 2025-09-12.cc.txt
HB 178,HB,House-ChamberMeeting_Tuesday_Jan28_2025_1033AM-1230PM - 2025-09-12.cc.txt
HB 178,HB,House-ChamberMeeting_Tuesday_Mar4_2025_1044AM-401PM - 2025-09-12.cc.txt
HB 178,HB,SenateChamber_Monday_Mar17_2025_1125AM-335PM - 2025-09-12.cc.txt
HB 178,HB,SenateChamber_Thursday_Mar20_2025_648PM-1257AM - 2025-09-12.cc.txt
HB 178,HB,SenateChamber_Tuesday_Mar18_2025_1146AM-143PM - 2025-09-12.cc.txt
HB 178,HB,SenateChamber_Wednesday_Mar5_2025_1151AM-342PM - 2025-09-12.cc.txt
HB 178,HB,HouseChamber_Monday_Jan29_2024_1116AM-114PM - 2025-09-12.cc.txt
SB 109,SB,House-Judiciary_Monday_Mar17_2025_659PM-1008PM - 2025-09-12.cc.txt
SB 109,SB,Senate-Judiciary_Monday_Feb17_2025_343PM-647PM - 2025-09-12.cc.txt
SB 109,SB,House-ChamberMeeting_Friday_Feb21_2025_1107AM-500PM - 2025-09-12.cc.txt
SB 109,SB,House-ChamberMeeting_Saturday_Mar1_2025_100PM-807PM - 2025-09-12.cc.txt
SB 109,SB,House-ChamberMeeting_Thursday_Mar20_2025_108PM-1035PM - 2025-09-12.cc.txt
SB 109,SB,House-ChamberMeeting_Tuesday_Mar18_2025_1203PM-642PM - 2025-09-12.cc.txt
SB 109,SB,Senate-Rules_Friday_Jan31_2025_906AM-1045AM - 2025-09-12.cc.txt
SB 109,SB,Senate-Rules_Wednesday_Jan29_2025_902AM-1039AM - 2025-09-12.cc.txt
SB 109,SB,House-Government_ElectionsAndIndianAffairs_Saturday_Mar1_2025_1002AM-103PM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Friday_Jan31_2025_1105AM-1212PM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Thursday_Feb20_2025_1139AM-355PM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Thursday_Jan23_2025_1209PM-1248PM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Thursday_Jan30_2025_111PM-218PM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Thursday_Mar20_2025_648PM-1257AM - 2025-09-12.cc.txt
SB 109,SB,SenateChamber_Tuesday_Feb18_2025_1148AM-101PM - 2025-09-12.cc.txt
HB 15,HB,House-AppropriationsandFinance_Friday_Feb28_2025_339PM-602PM - 2025-09-12.cc.txt
HB 15,HB,Senate-Tax_BusinessandTransportation_Tuesday_Mar18_2025_311PM-424PM - 2025-09-12.cc.txt
HB 15,HB,House-HealthandHumanServices_Wednesday_Feb5_2025_835AM-1203PM - 2025-09-12.cc.txt
HB 15,HB,Senate-Judiciary_Friday_Feb2_2024_246PM-345PM - 2025-09-12.cc.txt
HB 15,HB,House-ChamberMeeting_Saturday_Mar1_2025_100PM-807PM - 2025-09-12.cc.txt
HB 15,HB,House-ChamberMeeting_Thursday_Feb6_2025_1057AM-133PM - 2025-09-12.cc.txt
HB 15,HB,House-ChamberMeeting_Tuesday_Jan28_2025_1033AM-1230PM - 2025-09-12.cc.txt
HB 15,HB,House-ChamberMeeting_Wednesday_Mar5_2025_1119AM-247PM - 2025-09-12.cc.txt
HB 15,HB,House-TransportationandPublicWorks_Thursday_Feb13_2025_905AM-1035AM - 2025-09-12.cc.txt
HB 15,HB,Senate-Rules_Wednesday_Mar12_2025_906AM-1053AM - 2025-09-12.cc.txt
HB 15,HB,IC-LegislativeHealthandHumanServices_Tuesday_Jul22_2025_102PM-332PM - 2025-09-12.cc.txt
HB 15,HB,SenateChamber_Thursday_Mar6_2025_1119AM-227PM - 2025-09-12.cc.txt
HB 15,HB,SenateChamber_Wednesday_Mar12_2025_1133AM-257PM - 2025-09-12.cc.txt
HB 15,HB,SenateChamber_Wednesday_Mar5_2025_1151AM-342PM - 2025-09-12.cc.txt
HB 167,HB,House-AppropriationsandFinance_Friday_Feb7_2025_245PM-639PM - 2025-09-12.cc.txt
HB 167,HB,House-AppropriationsandFinance_Monday_Mar3_2025_232PM-445PM - 2025-09-12.cc.txt
HB 167,HB,House-AppropriationsandFinance_Wednesday_Feb9_2022_625PM-724PM - 2025-09-12.cc.txt
HB 167,HB,House-Education_Friday_Feb7_2025_832AM-958AM - 2025-09-12.cc.txt
HB 167,HB,Senate-Education_Monday_Mar10_2025_837AM-1100AM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Friday_Mar21_2025_644PM-1149PM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Saturday_Mar22_2025_936AM-1204PM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Thursday_Mar20_2025_108PM-1035PM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Tuesday_Jan28_2025_1033AM-1230PM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Tuesday_Mar4_2025_1044AM-401PM - 2025-09-12.cc.txt
HB 167,HB,House-ChamberMeeting_Wednesday_Mar5_2025_1119AM-247PM - 2025-09-12.cc.txt
HB 167,HB,SenateChamber_Monday_Mar10_2025_1114AM-504PM - 2025-09-12.cc.txt
HB 167,HB,SenateChamber_Saturday_Mar22_2025_855AM-1212PM - 2025-09-12.cc.txt
HB 167,HB,SenateChamber_Thursday_Mar20_2025_648PM-1257AM - 2025-09-12.cc.txt
SB 58,SB,House-AppropriationsandFinance_Monday_Feb3_2025_140PM-403PM - 2025-09-12.cc.txt
SB 58,SB,Senate-Tax_BusinessandTransportation_Tuesday_Jan30_2024_452PM-609PM - 2025-09-12.cc.txt
SB 58,SB,Senate-HealthandPublicAffairs_Monday_Feb17_2025_324PM-626PM - 2025-09-12.cc.txt
SB 58,SB,Senate-Judiciary_Monday_Mar10_2025_549PM-948PM - 2025-09-12.cc.txt
SB 58,SB,House-ChamberMeeting_Wednesday_Mar19_2025_1230PM-934PM - 2025-09-12.cc.txt
SB 58,SB,HouseChamber_Tuesday_Feb13_2024_549PM-1045PM - 2025-09-12.cc.txt
SB 58,SB,IC-Courts_CorrectionsandJustice_Monday_Aug12_2024_912AM-1226PM - 2025-09-12.cc.txt
SB 58,SB,IC-LegislativeFinance_Monday_Nov18_2024_908AM-1105AM - 2025-09-12.cc.txt
SB 58,SB,IC-LegislativeFinance_Tuesday_Dec10_2024_122PM-404PM - 2025-09-12.cc.txt
SB 58,SB,IC-LegislativeFinance_Tuesday_Jun11_2024_236PM-547PM - 2025-09-12.cc.txt
SB 58,SB,SenateChamber_Sunday_Mar16_2025_122PM-353PM - 2025-09-12.cc.txt
SB 58,SB,SenateChamber_Tuesday_Feb18_2025_1148AM-101PM - 2025-09-12.cc.txt
SB 58,SB,SenateChamber_Tuesday_Mar18_2025_1146AM-143PM - 2025-09-12.cc.txt
SB 58,SB,HouseandSenateTaxCommitteeMeeting_Friday_Feb2_2024_812AM-908AM - 2025-09-12.cc.txt
HB 21,HB,House-AppropriationsandFinance_Monday_Mar10_2025_500PM-635PM - 2025-09-12.cc.txt
HB 21,HB,Governor'sAddress-HouseChamber_Tuesday_Jan21_2025_213PM-331PM - 2025-09-12.cc.txt
HB 21,HB,House-ChamberMeeting_Thursday_Mar13_2025_1059AM-413PM - 2025-09-12.cc.txt
HB 21,HB,House-ChamberMeeting_Tuesday_Mar11_2025_1057AM-920PM - 2025-09-12.cc.txt
HB 21,HB,House-ChamberMeeting_Wednesday_Jan29_2025_1040AM-1259PM - 2025-09-12.cc.txt
HB 21,HB,House-ChamberMeeting_Wednesday_Mar5_2025_1119AM-247PM - 2025-09-12.cc.txt
HB 21,HB,House-TransportationandPublicWorks_Tuesday_Mar11_2025_904AM-1103AM - 2025-09-12.cc.txt
HB 21,HB,House-Government_ElectionsAndIndianAffairs_Saturday_Feb15_2025_1005AM-1239PM - 2025-09-12.cc.txt
HB 21,HB,House-RuralDevelopment_LandGrantsAndCulturalAffairs_Tuesday_Feb4_2025_859AM-944AM - 2025-09-12.cc.txt
HB 21,HB,IC-LandGrant_Friday_May30_2025_1007AM-1213PM - 2025-09-12.cc.txt
HB 21,HB,IC-LegislativeHealthandHumanServices_Tuesday_Jul2_2024_918AM-512PM - 2025-09-12.cc.txt
HB 21,HB,SenateChamber_Thursday_Mar13_2025_701PM-845PM - 2025-09-12.cc.txt
HB 21,HB,SenateChamber_Thursday_Mar20_2025_648PM-1257AM - 2025-09-12.cc.txt
HB 21,HB,House-Agriculture_AcequiasAndWaterResources_Thursday_Feb8_2024_903AM-926AM - 2025-09-12.cc.txt
